date,description,amount,category
2026-08-01,DAVE & BUSTERS #0087 DALLAS TX,-71.56,Entertainment
2026-08-03,H MART GROCERY,-108.31,Groceries
2026-08-03,GROCERY OUTLET BARGAIN MKT,-109.24,Groceries
2026-08-03,76 - GAS STATION #3221,-33.24,Transport
2026-08-03,STEAMGAMES.COM 425-889-9642 WA,-74.68,Entertainment
2026-08-03,ACH DEBIT PGE ELECTRIC BILLPAY,-91.60,Utilities
2026-08-04,AUDIBLE.COM SEATTLE WA,-6.50,Subscriptions
2026-08-04,LYFT *RIDE MON 8PM SAN FRANCISCO CA,-37.25,Transport
2026-08-04,REGAL CINEMAS 0421 NEW YORK NY,-64.76,Entertainment
2026-08-04,CRICKET WIRELESS #3221,-135.40,Utilities
2026-08-04,CASH APP*DIRECT DEPOSIT,2477.34,Income
2026-08-04,ACH CREDIT ACME CORP PAYROLL,2994.42,Income
2026-08-04,MISC DEBIT ADJUSTMENT,-72.61,Other
2026-08-05,WHOLE FOODS MARKET,-68.18,Groceries
2026-08-05,OLIVE GARDEN #4409 PHOENIX AZ,-12.26,Dining
2026-08-05,STEAMGAMES.COM 425-889-9642 WA,-38.97,Entertainment
2026-08-06,UBER *TRIP HELP.UBER.COM,-14.45,Transport
2026-08-06,ENTERPRISE RENT-A-CAR,-45.72,Transport
2026-08-06,BOWLERO #2291 CHICAGO IL,-50.91,Entertainment
2026-08-06,ACH DEBIT SEWER UTILITY DIST,-42.14,Utilities
2026-08-07,H MART GROCERY,-85.95,Groceries
2026-08-07,INTEREST PAYMENT SAVINGS,2637.83,Income
2026-08-08,EXXON 88213 MAIN ST,-48.64,Transport
2026-08-09,GRUBHUB*ORDER CHICAGO IL,-27.51,Dining
2026-08-09,RENT PAYMENT CAMDEN PROPERTY TRUST,-2227.62,Rent
2026-08-09,DISNEY PLUS 888-905-7888 CA,-19.93,Subscriptions
2026-08-09,ACH DEBIT CITY WATER UTILITY,-46.03,Utilities
2026-08-09,INTEREST PAYMENT SAVINGS,990.67,Income
2026-08-09,REC'D PAYPAL TRANSFER,1361.83,Income
2026-08-10,ADOBE  *CREATIVE CLD SAN JOSE CA,-15.29,Subscriptions
2026-08-10,XBOX LIVE MICROSOFT WA,-25.56,Entertainment
2026-08-10,COMEDY CLUB DOWNTOWN LA,-50.73,Entertainment
2026-08-10,TARGET #1145 SAN DIEGO CA,-111.88,Shopping
2026-08-11,AMAZON PRIME*MI79K2 SEATTLE WA,-16.33,Subscriptions
2026-08-11,METRO TRANSIT FARE MINNEAPOLIS MN,-25.54,Transport
2026-08-11,ZELLE PMT TO J SMITH,-97.36,Other
2026-08-12,VONS #2214 LOS ANGELES CA,-58.13,Groceries
2026-08-12,FOOD LION #1145 SAN DIEGO CA,-119.32,Groceries
2026-08-12,ALDI 71029 CHICAGO IL,-56.61,Groceries
2026-08-12,NYTIMES*SUBSCRIPTION 800-698-4637,-6.45,Subscriptions
2026-08-12,CASH APP*DIRECT DEPOSIT,3071.63,Income
2026-08-13,MASTERCLASS ANNUAL PLAN,-20.77,Subscriptions
2026-08-13,OVERDRAFT FEE,-88.59,Other
2026-08-14,STOP & SHOP #3391 BOSTON MA,-114.13,Groceries
2026-08-14,SIRIUSXM RADIO SVC,-18.36,Subscriptions
2026-08-14,AMC 24 THEATRES #1187 BURBANK CA,-22.03,Entertainment
2026-08-14,AT&T *PAYMENT 800-288-2020 TX,-48.28,Utilities
2026-08-14,PETCO ANIMAL SUPPLIES,-79.93,Shopping
2026-08-15,POS DEBIT WHOLEFDS MKT 10345 AUSTIN TX,-62.04,Groceries
2026-08-15,DOORDASH*WINGSTOP SAN FRANCISCO CA,-12.49,Dining
2026-08-15,ZELLE PMT TO LANDLORD J RIVERA,-2297.46,Rent
2026-08-15,DELTA.COM 800-221-1212 GA,-12.39,Transport
2026-08-15,DELTA.COM 800-221-1212 GA,-40.13,Transport
2026-08-15,TOP GOLF #0412 AUSTIN TX,-39.15,Entertainment
2026-08-15,GAMESTOP #0093 AUSTIN TX,-112.27,Shopping
2026-08-15,CASH APP*TRANSFER,-75.56,Other
2026-08-16,BART CLIPPER RELOAD SAN FRANCISCO CA,-20.65,Transport
2026-08-16,76 - GAS STATION #3221,-22.27,Transport
2026-08-17,PUBLIX #1187 ORLANDO FL,-109.84,Groceries
2026-08-17,ZAPPOS.COM 800-927-7671 NV,-136.15,Shopping
2026-08-17,ACH CREDIT TAX REFUND IRS,1475.23,Income
2026-08-18,ULTA BEAUTY #4471 SAN DIEGO CA,-97.15,Shopping
2026-08-19,H MART GROCERY,-55.06,Groceries
2026-08-19,WINN-DIXIE,-54.20,Groceries
2026-08-19,IN-N-OUT BURGER #221,-32.45,Dining
2026-08-19,CHIPOTLE 2841 DENVER CO,-28.60,Dining
2026-08-19,AUDIBLE.COM SEATTLE WA,-9.76,Subscriptions
2026-08-19,NETFLIX.COM LOS GATOS CA,-8.04,Subscriptions
2026-08-19,GAMESTOP #0093 AUSTIN TX,-28.65,Shopping
2026-08-19,STRIPE PAYOUT TRANSFER,612.40,Income
2026-08-19,ZELLE PMT TO J SMITH,-179.11,Other
2026-08-20,ACH DEBIT GREYSTAR MGMT RENT,-3200.00,Rent
2026-08-20,ETSY.COM - MERCH BROOKLYN NY,-21.27,Shopping
2026-08-21,RENT PAYMENT AVALON BAY COMMUNITIES,-1793.38,Rent
2026-08-21,WAYFAIR.COM ONLINE ORDER,-110.25,Shopping
2026-08-22,ONLINE PMT BLUEROCK PROPERTIES LLC,-2351.09,Rent
2026-08-22,ACH DEBIT EQUITY RESIDENTIAL,-1892.92,Rent
2026-08-22,APPLE.COM/BILL 866-712-7753 CA,-16.35,Subscriptions
2026-08-22,ULTA BEAUTY #4471 SAN DIEGO CA,-540.00,Shopping
2026-08-22,NOTARY SERVICE FEE,-195.25,Other
2026-08-23,PELOTON MEMBERSHIP NYC NY,-6.95,Subscriptions
2026-08-23,ARCO AMPM #5521 OAKLAND CA,-16.91,Transport
2026-08-23,SPOTHERO PARKING SAN FRANCISCO CA,-17.81,Transport
2026-08-24,ACH DEBIT GREYSTAR MGMT RENT,-2199.63,Rent
2026-08-24,PLANET FITNESS #0921 DALLAS TX,-12.13,Subscriptions
2026-08-24,ACH CREDIT FREELANCE PAYMENT,2815.53,Income
2026-08-24,MONEYGRAM TRANSFER,-130.21,Other
2026-08-25,COSTCO WHSE #0512 SAN JOSE CA,-113.05,Groceries
2026-08-25,SUBWAY #8821 AUSTIN TX,-38.39,Dining
2026-08-25,SPOTHERO PARKING SAN FRANCISCO CA,-39.82,Transport
2026-08-25,BEST BUY 00003221 SEATTLE WA,-13.07,Shopping
2026-08-25,GAMESTOP #0093 AUSTIN TX,-84.73,Shopping
2026-08-25,ETSY.COM - MERCH BROOKLYN NY,-136.24,Shopping
2026-08-25,ACH CREDIT TAX REFUND IRS,1202.25,Income
2026-08-25,CASH APP*DIRECT DEPOSIT,1278.45,Income
2026-08-25,CHECK #1042,-61.82,Other
2026-08-26,RENT PAYMENT ESSEX PROPERTY TRUST,-2090.09,Rent
2026-08-26,DAVE & BUSTERS #0087 DALLAS TX,-40.73,Entertainment
2026-08-27,VONS #2214 LOS ANGELES CA,-80.16,Groceries
2026-08-27,FIVE GUYS #1145 SAN DIEGO CA,-9.72,Dining
2026-08-27,UBER *EATS HELP.UBER.COM,-9.32,Dining
2026-08-27,AUDIBLE.COM SEATTLE WA,-24.97,Subscriptions
2026-08-27,ZIPCAR MEMBERSHIP FEE,-9.00,Transport
2026-08-28,ZAPPOS.COM 800-927-7671 NV,-92.74,Shopping
2026-08-29,WHOLEFDS MKT 10345 -- CATERING ORDER,-410.00,Groceries
2026-08-29,ACH DEBIT IRVINE COMPANY APTS,-2137.55,Rent
2026-08-29,PLAYSTATION NETWORK SONY CA,-66.63,Entertainment
2026-08-29,VERIZON WIRELESS PAYMENTS,-78.54,Utilities
2026-08-29,NOTARY SERVICE FEE,-83.03,Other
2026-08-30,TST* THE CORNER BISTRO NYC NY,-12.51,Dining
2026-08-30,PELOTON MEMBERSHIP NYC NY,-23.23,Subscriptions
2026-08-30,76 - GAS STATION #3221,-48.58,Transport
2026-08-30,SPOTHERO PARKING SAN FRANCISCO CA,-61.93,Transport
2026-08-30,EXXON 88213 MAIN ST,-58.25,Transport
2026-08-30,PLAYSTATION NETWORK SONY CA,-89.19,Entertainment
2026-08-30,OVERDRAFT FEE,-115.76,Other
2026-08-31,COSTCO WHSE #0512 SAN JOSE CA,-103.67,Groceries
2026-08-31,ACH DEBIT UDR COMMUNITIES,-2297.67,Rent
2026-08-31,XBOX LIVE MICROSOFT WA,-35.81,Entertainment
2026-08-31,SPOTIFY LIVE EVENTS SF CA,-81.56,Entertainment
